# CONCEPTICON
# Created by: QLC Research Group (M. Cysouw, V. Kirchhoff, S. Nicolai, N.  Müller, J.-M. List [rearrange and modify this order, I put me as last person, since I didn't do quite much, not to indicate that I'm some kind of a leader in this project])
# Created on: 2014-05-06 13:04
# Contact: <whatemailtousehere?>
OMEGA_WIKI	GLOSS	WOLD	POS
5529	fingernail	4.344	Noun
828398	claw	4.345	Noun
5665	leg	4.35	Noun
348189	thigh	4.351	Noun
156660	calf of the leg	4.352	Noun
5918	knee	4.36	Noun
5672	foot	4.37	Noun
348298	ankle	4.371	Noun
422122	heel	4.372	Noun
1510480	footprint	4.374	Noun
5969	toe	4.38	Noun
5528	wing	4.392	Noun
5436	feather	4.393	Noun
6532	chest	4.4	Noun
5992	breast	4.41	Noun
348030	nipple	4.412	Noun
1329165	udder	4.42	Noun
7690	navel	4.43	Noun
5516	belly	4.431	Noun
5475	heart	4.44	Noun
334158	lung	4.441	Noun
5476	liver	4.45	Noun
155634	kidney	4.451	Noun
706908	spleen	4.452	Noun
352530	stomach	4.46	Noun
950344	intestines	4.461	Noun
5824	guts	4.461	Noun
692019	waist	4.462	Noun
707216	hip	4.463	Noun
356264	buttocks	4.464	Noun
502614	tendon	4.465	Noun
348317	womb	4.47	Noun
348064	testicles	4.49	Noun
5473	penis	4.492	Noun
7685	vagina	4.493	Noun
7687	vulva	4.494	Noun
5998	breathe	4.51	Verb
441371	yawn	4.52	Verb
1339563	hiccough	4.521	Verb
373675	cough	4.53	Verb
665334	sneeze	4.54	Verb
1250941	perspire	4.55	Verb
6051	spit	4.56	Verb
5617	vomit	4.57	Verb
5993	bite	4.58	Verb
1510483	lick	4.59	Verb
1505759	dribble	4.591	Verb
6519	sleep	4.61	Verb
935932	snore	4.612	Verb
8448	dream	4.62	Verb
6557	wake up	4.63	Verb
515390	fart	4.64	Verb
160433	piss	4.65	Verb
332137	shit	4.66	Verb
7269	have sex	4.67	Verb
1106980	shiver	4.68	Verb
1295154	bathe	4.69	Verb
510379	beget	4.71	Verb
474983	be born	4.72	Verb
489482	pregnant	4.73	Adjective
474203	conceive	4.732	Verb
6028	be alive	4.74	Verb
1419171	life	4.741	Noun
6245	die	4.75	Verb
6660	dead	4.7501	Adjective
838127	drown	4.751	Verb
6023	kill	4.76	Verb
343500	corpse	4.77	Noun
7171	carcass	4.771	Noun
702018	bury	4.78	Verb
7187	grave	4.79	Noun
345510	strong	4.81	Adjective
6555	weak	4.82	Adjective
5901	healthy	4.83	Adjective
7800	sick	4.84	Adjective
7800	ill	4.84	Adjective
6347	fever	4.841	Noun
897615	goiter	4.842	Noun
1178541	cold	4.843	Noun
941	disease	4.844	Noun
480931	wound	4.85	Noun
1103925	sore	4.85	Noun
509506	bruise	4.852	Noun
838114	swelling	4.853	Noun
1311851	itch	4.854	Noun
6047	scratch	4.8541	Verb
6518	blister	4.855	Noun
347037	boil	4.856	Noun
745553	pus	4.857	Noun
156420	scar	4.858	Noun
156675	cure	4.86	Verb
161474	physician	4.87	Noun
5919	medicine	4.88	Noun
2847	poison	4.89	Noun
7117	tired	4.91	Adjective
1366972	rest	4.912	Verb
6424	lazy	4.92	Adjective
490061	bald	4.93	Adjective
1510490	lame	4.94	Adjective
428203	deaf	4.95	Adjective
6856	mute	4.96	Adjective
6807	blind	4.97	Adjective
6098	drunk	4.98	Adjective
160368	naked	4.99	Adjective
468880	barefoot	4.99901	Adjective
1082323	swollen	4.99902	Adjective
1497826	canine tooth	4.99903	Noun
438873	cholesterol	4.99904	Noun
1351256	dribble	4.99905	Noun
615259	fist	4.99906	Noun
7919	lap	4.99907	Noun
2313	metabolism	4.99908	Noun
6259	saliva	4.9991	Noun
1071412	scabies	4.99911	Noun
1112610	strength	4.99912	Noun
7691	umbilical cord	4.99913	Noun
1312155	itch	4.99914	Verb
5827	eat	5.11	Verb
1505	food	5.12	Noun
1505768	cooked	5.121	Adjective
899678	raw	5.122	Adjective
1378364	ripe	5.123	Adjective
899673	unripe	5.124	Adjective
7031	rotten	5.125	Adjective
5991	drink	5.13	Verb
8037	be hungry	5.14	Verb
1407	famine	5.141	Noun
359542	be thirsty	5.15	Verb
6027	suck	5.16	Verb
1510493	chew	5.18	Verb
380335	swallow	5.181	Verb
1260643	choke	5.19	Verb
479132	cook	5.21	Verb
347033	boil	5.22	Verb
903088	roast	5.23	Verb
425934	fry	5.23	Verb
1392775	bake	5.24	Verb
