Key	Concept	Number	Gloss
405	THE TOOTH	173	tooth (front rather than molar)
830	THE TREE	174	tree
1043	TO TURN	175	to turn (change one's direction)
1270	TWO	176	two
467	TO VOMIT	177	to vomit
1074	TO WALK	178	to walk
1426	WARM	179	warm (of weather)
960	TO WASH	180	to wash
17	THE WATER	181	water
175	WE	182	we
1423	WET	183	wet
1550	WHAT?	184	what?
1551	WHEN?	185	when?
1552	WHERE?	186	where?
1406	WHITE	187	white
1554	WHO?	188	who?
1246	WIDE	189	wide
107	THE WIFE	190	wife
61	THE WIND	191	wind
433	THE WING	192	wing
952	TO WIPE	193	to wipe
1891	WITH	194	with (accompanying)
97	THE WOMAN	195	woman
39	THE WOODS	196	woods
297	THE WORM	197	worm
178	YOU	198	ye
1368	THE YEAR	199	year
1411	YELLOW	200	yellow
