Key	Concept	Number	Gloss
1368	THE YEAR	169	year
1381	TO SNIFF	29	to sniff, smell
1382	TO SMELL (TRANSITIVE)	29	to sniff, smell
1391	TO HEAR	44	to hear
1397	TO SEE	46	to see
1406	WHITE	148	white
1407	BLACK	147	black
1408	RED	149	red
1410	GREEN	151	green
1411	YELLOW	150	yellow
1419	SHARP	81	sharp
1420	BLUNT	82	dull, blunt
1421	HEAVY	142	heavy
1423	WET	141	wet
1424	DRY	140	dry
1426	WARM	138	warm
1427	COLD	139	cold
1429	DIRTY	10	dirty
1444	TO LAUGH	33	to laugh
1456	TO CRY	34	to cry
1470	TO CHOOSE	85	to choose
1473	TRUE	166	correct, true
1477	GOOD	164	good
1478	BAD	165	bad, evil
1937	EVIL	165	bad, evil
1495	TO BE ASHAMED	161	shy, ashamed
1505	TO THINK (REFLECT)	21	to think
1509	TO KNOW	20	to know, be knowledgeable
1541	AND	192	and
1543	IF	193	if
1547	HOW?	194	how?
1550	WHAT?	188	what?
1551	WHEN?	170	when?
1552	WHERE?	181	where?
1554	WHO?	189	who?
1575	TO SAY	64	to say
1581	THE NAME	63	name
1629	THE WALKING STICK	79	stick/wood
1739	TO HUNT	69	to hunt
1740	TO SHOOT	70	to shoot
1777	TO STEAL	73	to steal
1893	NOT	195	no, not
1894	THIS	177	this
1895	THAT	178	that
1898	OTHER	190	other
1918	TO SWELL	87	to swell
1920	TO FEAR	22	to fear
1923	FIFTY	208	Fifty
1924	HUNDRED	209	One Hundred
1925	THOUSAND	210	One Thousand
1927	TO PIERCE	71	to stab, pierce
1928	TO HACK	78	to cut, hack
1929	TO WORK	83	to work
1930	TO UNCOVER	92	to open, uncover
1931	TO BE KNOWLEDGEABLE	20	to know, be knowledgeable
1932	THE HUMAN BEING	53	person/human being
1933	TO FASTEN	66	to tie up, fasten
1934	PAINFUL	160	painful, sick
1935	CORRECT	166	correct, true
1936	BELOW	176	below
