ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
729	plait	-	-	-	-	weave, plait <9.75>	-	-	-	-	-	-	-	-	-
730	little	-	-	-	-	small, little <12.56>	-	-	-	-	-	-	-	-	-
731	shoot (V)	-	-	-	-	-	-	-	-	-	-	shoot <196>	-	-	-
732	garden	-	-	-	-	garden <8.13>	-	-	-	-	-	-	-	-	-
733	above	-	-	-	-	up, above <12.8>	-	-	-	-	-	-	-	-	-
734	govern (V)	-	-	-	-	rule, govern <19.31>	-	-	-	-	-	-	-	-	-
735	thumb	-	-	-	-	thumb <4.342>	-	-	-	-	-	-	-	-	-
736	what?	-	-	-	-	-	-	-	-	-	6853 <50>	-	-	-	-
737	cloak	-	-	-	-	cloak <6.41>	-	-	-	-	-	-	-	-	-
738	love	-	-	-	-	love <16.27>	-	-	-	-	-	-	-	-	-
739	continent	-	-	-	-	mainland <1.26>	-	-	-	-	-	-	-	-	-
740	conceal (V)	-	-	-	-	hide, conceal <12.27>	-	-	-	-	-	-	-	-	-
741	shadow	-	-	-	-	-	-	-	-	-	-	shade/shadow <97>	-	-	-
742	die	-	-	-	-	-	-	-	1655 <12>	-	-	-	-	-	-
743	maize	-	-	-	-	maize, corn <8.47>	-	-	-	-	-	-	-	-	-
744	gather (V)	-	-	-	-	collect, gather <12.21>	-	-	-	-	-	-	-	-	-
745	wake up (V)	-	-	-	-	wake up <4.63>	-	-	-	-	-	-	-	-	-
746	pestle	-	-	-	-	pestle <5.59>	-	-	-	-	-	-	-	-	-
747	dare	-	-	-	-	dare <16.51>	-	-	-	-	-	-	-	-	-
748	early	-	-	-	-	early <14.16>	-	-	-	-	-	-	-	-	-
749	cow	-	-	-	-	cow <3.23>	-	-	-	-	-	-	-	-	-
750	weary	-	-	-	-	tired, weary <4.91>	-	-	-	-	-	-	-	-	-
751	wolf	-	-	-	-	wolf <3.71>	-	-	-	-	-	-	-	-	-
752	dark	-	-	-	-	dark (in color) <15.63>	-	-	-	-	-	-	-	-	-
753	drop	-	-	-	-	drop (vb) <10.16>	-	-	-	-	-	-	-	-	-
754	to hide	-	-	-	-	-	-	-	-	-	1189 <67>	-	-	-	-
755	leap (V)	-	-	-	-	jump, leap <10.43>	-	-	-	-	-	-	-	-	-
756	fifty	Fifty <208>	-	-	-	-	-	-	-	-	-	-	-	-	-
757	smell	-	-	-	-	stinking, bad smelling <15.26>	-	-	-	-	-	-	-	-	-
758	play	-	-	-	-	play <16.26>	-	-	-	-	-	-	-	-	-
759	help (V)	-	-	-	-	help, aid <19.58>	-	-	-	-	-	-	-	-	-
760	slow	-	-	-	-	slow <14.22>	-	-	-	-	-	-	-	-	-
761	deny (V)	-	-	-	-	deny <18.34>	-	-	-	-	-	-	-	-	-
762	gill	-	-	-	-	gill <3.654>	-	-	-	-	-	-	-	-	-
763	catch (V)	-	-	-	-	catch (ball) <10.252>	-	-	-	-	-	-	-	-	-
764	foam	-	-	-	-	foam <1.324>	-	-	-	-	-	-	-	-	-
765	soul	-	-	-	-	soul, spirit <16.11>	-	-	-	-	-	-	-	-	-
766	headdress	-	-	-	-	headband, headdress <6.78>	-	-	-	-	-	-	-	-	-
767	neighbour	-	-	-	-	neighbor <19.54>	-	-	-	-	-	-	-	-	-
768	to suck	-	-	-	-	-	-	-	-	-	6074 <69>	-	-	-	-
769	younger brother	-	-	-	-	younger brother <2.445>	-	-	-	-	-	-	-	-	-
770	pottery	-	-	-	-	potter <9.71>	-	-	-	-	-	-	-	-	-
771	mangrove	-	mangrove (Avicennia sp.) <151>	-	-	-	-	-	-	-	-	-	-	-	-
772	twin	-	-	-	-	twins <2.458>	-	-	-	-	-	-	-	-	-
773	ready	-	-	-	-	ready <14.29>	-	-	-	-	-	-	-	-	-
774	arms	-	-	-	-	weapons, arms <20.21>	-	-	-	-	-	-	-	-	-
775	school	-	-	-	-	school <17.28>	-	-	-	-	-	-	-	-	-
776	door	-	-	-	-	door, gate <7.22>	-	-	-	-	-	-	-	-	-
777	give	-	-	-	-	-	-	-	2648 <28>	-	-	-	-	-	-
778	attack (V)	-	-	-	-	attack <20.43>	-	-	-	-	-	-	-	-	-
779	light (V)	-	-	-	-	light, kindle, ignite <1.86>	-	-	-	-	-	-	-	-	-
780	guess (V)	-	-	-	-	guess <17.171>	-	-	-	-	-	-	-	-	-
781	bend	-	-	-	-	bend <9.14>	-	-	-	-	-	-	-	-	-
782	good	-	-	-	-	fragrant, good smelling <15.25>	-	-	-	-	-	-	-	-	-
783	deceit	-	-	-	-	deceit <16.68>	-	-	-	-	-	-	-	-	-
784	swallow	-	-	-	-	swallow <5.181>	-	-	-	-	-	-	-	-	-
785	ewe	-	-	-	-	ewe <3.28>	-	-	-	-	-	-	-	-	-
786	flat	-	-	-	-	flat <12.71>	-	-	-	-	-	-	-	-	-
787	ascend (V)	-	-	-	-	-	-	-	-	-	-	climb, ascend <138>	-	-	-
788	dish	-	-	-	-	dish <5.31>	-	-	-	-	-	-	-	-	-
789	suspect (V)	-	-	-	-	suspect <17.44>	-	-	-	-	-	-	-	-	-
790	dinner	-	-	-	-	dinner <5.44>	-	-	-	-	-	-	-	-	-
791	stocking	-	-	-	-	stocking, sock <6.49>	-	-	-	-	-	-	-	-	-
792	world	-	-	-	-	world <1.1>	-	-	-	-	-	-	-	-	-
793	mouse	-	-	-	-	mouse, rat <3.63>	-	-	-	-	-	-	-	-	-
794	young	-	-	-	-	young <14.14>	-	-	-	-	-	-	-	-	-
795	oder brother	-	-	-	-	older brother <2.444>	-	-	-	-	-	-	-	-	-
796	walk	-	-	-	-	walk <10.45>	-	-	-	-	-	-	-	-	-
797	lift (V)	-	-	-	-	raise, lift <10.22>	-	-	-	-	-	-	-	-	-
798	thick	-	-	-	-	-	-	-	-	-	6303 <77>	-	-	-	-
799	season	-	-	-	-	season <14.78>	-	-	-	-	-	-	-	-	-
800	admit (V)	-	-	-	-	admit, confess <18.33>	-	-	-	-	-	-	-	-	-
801	flame	-	-	-	-	flame (noun) <1.82>	-	-	-	-	-	-	-	-	-
802	younger sister	-	-	-	-	younger sister <2.455>	-	-	-	-	-	-	-	-	-
803	rescue (V)	-	-	-	-	save, rescue <11.25>	-	-	-	-	-	-	-	-	-
804	handkerchief	-	-	-	-	handkerchief, rag <6.81>	-	-	-	-	-	-	-	-	-
805	little	-	-	-	-	little (quantity), few <13.17>	-	-	-	-	-	-	-	-	-
806	hold	-	-	-	-	hold <11.15>	-	-	-	-	-	-	-	-	-
807	tie up (V)	to tie up, fasten <66>	-	-	-	-	-	-	-	-	-	-	-	-	-
808	blind	-	-	-	-	blind <4.97>	-	-	-	-	-	-	-	-	-
809	to hit/beat	-	-	-	-	-	-	-	-	-	430 <36>	-	-	-	-
810	ear-ring	-	-	-	-	earring <6.77>	-	-	-	-	-	-	-	-	-
811	one	-	-	-	-	one <13.1>	-	-	-	-	-	-	-	-	-
812	jewel	-	-	-	-	jewel <6.72>	-	-	-	-	-	-	-	-	-
813	stupid	-	-	-	-	foolish, stupid <17.22>	-	-	-	-	-	-	-	-	-
814	shop	-	-	-	-	store, shop <11.86>	-	-	-	-	-	-	-	-	-
815	heron	-	-	-	-	heron <3.583>	-	-	-	-	-	-	-	-	-
816	shadow	-	-	-	-	shade, shadow <1.63>	-	-	-	-	-	-	-	-	-
817	endure (V)	-	-	-	-	last, endure <14.252>	-	-	-	-	-	-	-	-	-
818	judge (V)	-	-	-	-	judge (vb) <21.16>	-	-	-	-	-	-	-	-	-
819	hasten (V)	-	-	-	-	hasten, hurry <14.23>	-	-	-	-	-	-	-	-	-
820	chief	-	-	-	-	chief, chieftain <19.24>	-	-	-	-	-	-	-	-	-
821	grape	-	-	-	-	grape <5.76>	-	-	-	-	-	-	-	-	-
822	month	-	-	-	-	month <14.71>	-	-	-	-	-	-	-	-	-
823	deep	-	-	-	-	deep <12.67>	-	-	-	-	-	-	-	-	-
824	blacksmith	-	-	-	-	smith, blacksmith <9.6>	-	-	-	-	-	-	-	-	-
825	butter	-	-	-	-	butter <5.89>	-	-	-	-	-	-	-	-	-
826	button	-	-	-	-	button <6.62>	-	-	-	-	-	-	-	-	-
827	more	-	-	-	-	more <13.16>	-	-	-	-	-	-	-	-	-
828	pain	-	-	-	-	pain <16.31>	-	-	-	-	-	-	-	-	-
829	few	-	-	-	-	little (quantity), few <13.17>	-	-	-	-	-	-	-	-	-
830	beget	-	-	-	-	beget (of father) <4.71>	-	-	-	-	-	-	-	-	-
831	ill	-	-	-	-	-	-	-	-	-	-	ill <154>	-	-	-
832	to hit/beat	-	-	-	-	-	-	-	-	-	3006 <36>	-	-	-	-
833	collar	-	-	-	-	collar <6.45>	-	-	-	-	-	-	-	-	-
834	oats	-	-	-	-	oats <8.46>	-	-	-	-	-	-	-	-	-
835	speak (V)	-	-	-	-	speak, talk <18.21>	-	-	-	-	-	-	-	-	-
836	remains	-	-	-	-	remains, left overs <12.17>	-	-	-	-	-	-	-	-	-
837	bat	-	-	-	-	bat <3.591>	-	-	-	-	-	-	-	-	-
838	oak	-	-	-	-	oak <8.61>	-	-	-	-	-	-	-	-	-
839	calf of leg	-	-	-	-	calf of leg <4.352>	-	-	-	-	-	-	-	-	-
840	return (V)	-	-	-	-	come back <10.481>	-	-	-	-	-	-	-	-	-
841	dig	-	-	-	-	dig <8.22>	-	-	-	-	-	-	-	-	-
842	ball	-	-	-	-	sphere, ball <12.83>	-	-	-	-	-	-	-	-	-
843	ram	-	-	-	-	ram <3.26>	-	-	-	-	-	-	-	-	-
844	swift	-	-	-	-	swift, fast, quick <14.21>	-	-	-	-	-	-	-	-	-
845	broken	-	-	-	-	broken <9.261>	-	-	-	-	-	-	-	-	-
846	pitcher	-	-	-	-	pitcher, jug <5.34>	-	-	-	-	-	-	-	-	-
847	weep (V)	-	-	-	-	cry, weep <16.37>	-	-	-	-	-	-	-	-	-
848	fast	-	-	-	-	swift, fast, quick <14.21>	-	-	-	-	-	-	-	-	-
849	to burn (intr.)	-	-	-	-	-	-	-	-	-	793 <55>	-	-	-	-
850	3SG pronoun	-	-	-	-	-	-	-	-	-	2926 <35>	-	-	-	-
851	duck	-	-	-	-	duck <3.57>	-	-	-	-	-	-	-	-	-
852	brave	-	-	-	-	brave <16.52>	-	-	-	-	-	-	-	-	-
853	boil (V)	-	-	-	-	-	-	-	-	-	-	cook/boil <183>	-	-	-
854	begin (V)	-	-	-	-	begin, beginning <14.25>	-	-	-	-	-	-	-	-	-
855	joyful	-	-	-	-	joyful, glad, happy <16.23>	-	-	-	-	-	-	-	-	-
856	rough	-	-	-	-	rough <15.76>	-	-	-	-	-	-	-	-	-
857	imitate (V)	-	-	-	-	imitate <17.172>	-	-	-	-	-	-	-	-	-
858	accuse (V)	-	-	-	-	accuse <21.31>	-	-	-	-	-	-	-	-	-
859	flea	-	-	-	-	flea <3.813>	-	-	-	-	-	-	-	-	-
860	under	-	-	-	-	under <12.7>	-	-	-	-	-	-	-	-	-
861	nut	-	-	-	-	nut <5.77>	-	-	-	-	-	-	-	-	-
862	arc	-	-	-	-	arch <7.58>	-	-	-	-	-	-	-	-	-
863	beginning	-	-	-	-	begin, beginning <14.25>	-	-	-	-	-	-	-	-	-
864	skin	-	-	-	-	skin, hide <4.12>	-	-	-	-	-	-	-	-	-
865	end	-	-	-	-	end (temporal) <14.26>	-	-	-	-	-	-	-	-	-
866	study	-	-	-	-	study <17.242>	-	-	-	-	-	-	-	-	-
867	village	-	-	-	-	-	-	-	-	-	-	village <109>	-	-	-
868	stay (V)	-	-	-	-	remain, stay <12.16>	-	-	-	-	-	-	-	-	-
869	bad	-	-	-	-	stinking, bad smelling <15.26>	-	-	-	-	-	-	-	-	-
870	evil	bad, evil <165>	-	-	-	-	-	-	-	-	-	-	-	-	-
871	awaken (V)	-	-	-	-	-	-	-	-	-	-	awaken <133>	-	-	-
872	ring	-	-	-	-	ring (for finger) <6.73>	-	-	-	-	-	-	-	-	-
873	foolish	-	-	-	-	foolish, stupid <17.22>	-	-	-	-	-	-	-	-	-
874	spearthrower	-	spearthrower <125>	-	-	-	-	-	-	-	-	-	-	-	-
875	shade	-	-	-	-	shade, shadow <1.63>	-	-	-	-	-	-	-	-	-
876	crop 2	-	-	-	-	crop, harvest <8.41>	-	-	-	-	-	-	-	-	-
