ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
248	scrape (V)	-	-	-	-	scrape <5.48>	-	-	-	-	-	scratch(scrape <182>	-	-	-
249	fat n.	-	-	-	-	-	-	-	2760 <22>	2760 <15>	-	-	-	-	-
250	tear	-	-	-	tear (noun) <13>	tear (noun) <16.38>	-	-	-	-	-	-	-	-	-
251	drink	-	-	-	-	-	-	-	1833 <14>	1833 <10>	-	-	-	-	-
252	female	woman/female <55>	-	-	-	female (adj) <3.13>	-	-	-	-	-	-	-	-	-
253	blood	-	-	-	-	-	-	-	576 <6>	-	576 <7>	-	-	-	-
254	here	-	-	-	-	-	here <9>	-	-	-	-	-	-	-	here <72>
255	cloud	-	-	-	-	-	-	-	1077 <9>	1077 <7>	-	-	-	-	-
256	snake	-	-	-	-	-	-	-	5667 <76>	5667 <54>	-	-	-	-	-
257	ground	-	ground <37>	-	-	earth=ground, soil <1.212>	-	-	-	-	-	-	-	-	-
258	skin	-	-	-	-	-	-	-	5585 <72>	5585 <50>	-	-	-	-	-
259	son	-	-	-	-	son <2.41>	-	-	-	-	-	child/son <43>	-	-	-
260	frog	-	-	-	-	frog <3.95>	-	-	-	-	-	frog <58>	-	-	-
261	egg	-	-	-	-	-	-	-	1930 <19>	-	1930 <52>	-	-	-	-
262	shade	-	shade <137>	-	-	-	-	-	-	-	-	shade/shadow <97>	-	-	-
263	flee (V)	-	-	-	-	flee <10.51>	-	-	-	-	-	run/flee <142>	-	-	-
264	north	-	north <58>	-	-	north <12.47>	-	-	-	-	-	-	-	-	-
265	walk (go)	-	-	-	-	-	-	-	2688 <91>	2688 <60>	-	-	-	-	-
266	bean	-	-	-	-	bean <5.66>	-	-	-	-	-	peas, beans <47>	-	-	-
267	monkey	-	-	-	-	monkey <3.76>	-	-	-	-	-	monkey <62>	-	-	-
268	iron	-	-	-	-	iron <9.67>	-	-	-	-	-	iron <101>	-	-	-
269	dog	-	-	-	-	-	-	-	1776 <13>	-	1776 <86>	-	-	-	-
270	sweet	-	-	-	-	sweet <15.35>	-	-	-	-	-	sweet <159>	-	-	-
271	tongue	-	-	-	-	-	-	-	6424 <87>	-	6424 <6>	-	-	-	-
272	sniff (V)	to sniff, smell <29>	-	-	-	sniff <15.212>	-	-	-	-	-	-	-	-	-
273	put (V)	-	-	-	-	put <12.12>	-	-	-	-	-	put, place <199>	-	-	-
274	there	-	-	-	-	-	there <10>	-	-	-	-	-	-	-	there <162>
275	rib	-	rib <64>	-	-	rib <4.162>	-	-	-	-	-	-	-	-	-
276	bone	-	-	-	-	-	-	-	614 <7>	-	614 <8>	-	-	-	-
277	sleep	to sleep <48>	-	-	-	sleep <4.61>	-	-	-	-	-	-	-	-	-
278	fat n.	-	-	-	-	-	-	-	2231 <22>	2231 <15>	-	-	-	-	-
279	go (V)	-	to go <36>	-	-	go <10.47>	-	-	-	-	-	-	-	-	-
280	fowl	-	-	-	-	fowl <3.5>	-	-	-	-	-	fowl <64>	-	-	-
281	rice	-	-	-	-	rice <8.48>	-	-	-	-	-	plaintain/banana <51>	-	-	-
282	grow (V)	to grow <86>	-	-	-	grow <12.53>	-	-	-	-	-	-	-	-	-
283	true	correc, true <166>	-	-	-	true <16.66>	-	-	-	-	-	-	-	-	-
284	green	-	-	-	-	-	-	-	2766 <30>	2766 <19>	-	-	-	-	-
285	foot	-	-	-	-	-	-	-	2458 <26>	2458 <17>	-	-	-	-	-
286	nephew	-	-	-	-	nephew <2.53>	-	-	-	-	-	grandchild (nephew) <44>	-	-	-
287	old man	-	old man <61>	-	-	old man <2.461>	-	-	-	-	-	-	-	-	-
288	mountain	-	-	-	-	-	-	-	3963 <50>	3963 <33>	-	-	-	-	-
289	because	-	-	-	-	-	because <206>	-	-	-	-	-	-	-	because <9>
290	bamboo	-	-	-	-	bamboo <8.94>	-	-	-	-	-	bamboo <96>	-	-	-
291	tomorrow	-	tomorrow <114>	-	-	tomorrow <14.48>	-	-	-	-	-	-	-	-	-
292	stick (V)	-	-	-	-	-	to stab (or stick) <116>	-	-	-	-	-	-	-	to stab (or stick) <150>
293	this	-	-	-	-	-	-	-	6327 <85>	-	6327 <39>	-	-	-	-
294	drink	-	-	-	-	beverage, drink <5.9>	-	-	-	-	-	drink <176>	-	-	-
295	chin	-	chin <127>	-	-	chin <4.209>	-	-	-	-	-	-	-	-	-
296	choose (V)	to choose <85>	-	-	-	choose <16.622>	-	-	-	-	-	-	-	-	-
297	life	-	-	-	-	live, living, life <4.74>	-	-	-	-	-	breath/life <39>	-	-	-
298	see	-	-	-	-	-	-	-	5347 <69>	5347 <47>	-	-	-	-	-
299	heart	-	-	-	-	-	-	-	2940 <35>	2940 <23>	-	-	-	-	-
300	yellow	-	-	-	-	-	-	-	7023 <100>	7023 <65>	-	-	-	-	-
301	finger	-	-	-	-	finger <4.34>	-	-	-	-	-	finger/toe <27>	-	-	-
302	tall	-	-	-	-	tall <12.58>	-	-	-	-	-	long/tall <158>	-	-	-
303	dead	to die, be dead <75>	-	-	dead <15>	-	-	-	-	-	-	-	-	-	-
304	today	-	now, today <60>	-	-	today <14.47>	-	-	-	-	-	-	-	-	-
305	navel	-	-	-	-	navel <4.43>	-	-	-	-	-	navel <32>	-	-	-
306	roof	thatch/roof <62>	-	-	-	roof <7.51>	-	-	-	-	-	-	-	-	-
307	woods	woods/forest <127>	-	-	-	woods, forest <1.41>	-	-	-	-	-	-	-	-	-
308	sleep	-	-	-	-	-	-	-	5608 <73>	5608 <51>	-	-	-	-	-
309	kill	-	-	-	-	-	-	-	3382 <39>	3382 <25>	-	-	-	-	-
310	valley	-	-	-	-	valley <1.24>	-	-	-	-	-	river/valley <81>	-	-	-
311	take (V)	-	to take <106>	-	-	take <11.13>	-	-	-	-	-	-	-	-	-
312	pick up (V)	-	to get, pick up <34>	-	-	pick up <12.212>	-	-	-	-	-	-	-	-	-
313	thigh	-	thigh <84>	-	-	thigh <4.351>	-	-	-	-	-	-	-	-	-
314	meat	-	-	-	-	-	-	-	3824 <48>	3824 <32>	-	-	-	-	-
315	medicine	-	-	-	-	medicine, drug <4.88>	-	-	-	-	-	plaintain/banana <51>	-	-	-
316	axe	-	axe <126>	-	-	ax <9.25>	-	-	-	-	-	-	-	-	-
317	fish	-	-	-	-	-	-	-	2345 <24>	-	2345 <40>	-	-	-	-
318	ripe	-	-	-	-	ripe <5.123>	-	-	-	-	-	ripe/well-cooked <167>	-	-	-
319	wipe (V)	-	-	-	-	-	to wipe <133>	-	-	-	-	-	-	-	to wipe <193>
320	alive	to live, be alive <76>	-	-	-	-	-	-	-	-	-	alive <153>	-	-	-
321	person	-	-	-	-	-	-	-	4437 <60>	4437 <39>	-	-	-	-	-
322	toe	-	-	-	-	toe <4.38>	-	-	-	-	-	finger/toe <27>	-	-	-
323	play (V)	-	-	-	-	-	to play <142>	-	-	-	-	-	-	-	to play <112>
324	hole	-	hole <139>	-	-	hole <12.85>	-	-	-	-	-	-	-	-	-
325	drive (V)	-	-	-	-	drive <10.65>	-	-	-	-	-	drive/hunt <200>	-	-	-
326	born	-	-	-	-	born (to be) <4.72>	-	-	-	-	-	be born <128>	-	-	-
327	yam	-	yam <148>	-	-	yam <8.912>	-	-	-	-	-	-	-	-	-
328	cry (V)	to cry <34>	to cry <14>	-	-	-	-	-	-	-	-	-	-	-	-
329	water	-	-	-	-	-	-	-	6792 <92>	-	6792 <4>	-	-	-	-
330	salt	-	-	-	-	-	-	-	5235 <66>	-	5235 <94>	-	-	-	-
331	louse	-	-	-	-	-	-	-	3684 <45>	-	3684 <16>	-	-	-	-
332	cold	-	-	-	-	-	-	-	1118 <10>	1118 <8>	-	-	-	-	-
333	ten	Ten <206>	-	-	-	-	-	-	-	-	-	ten <118>	-	-	-
334	male	man/male <54>	-	-	-	male <2.23>	-	-	-	-	-	-	-	-	-
335	boat	-	-	-	-	boat <10.83>	-	-	-	-	-	boat <107>	-	-	-
336	light 1	-	light <141>	-	-	-	-	-	-	-	-	lightweight <174>	-	-	-
337	earth	-	-	-	-	-	-	-	1905 <17>	1905 <12>	-	-	-	-	-
338	tail	-	-	-	-	-	-	-	6182 <82>	-	6182 <85>	-	-	-	-
339	swim	-	-	-	-	-	-	-	6160 <81>	6160 <57>	-	-	-	-	-
340	elbow	-	elbow <22>	-	-	elbow <4.32>	-	-	-	-	-	-	-	-	-
341	down 1	-	down, below <17>	-	-	down, below <12.3>	-	-	-	-	-	-	-	-	-
342	ant	-	-	-	-	ant <3.817>	-	-	-	-	-	ant <67>	-	-	-
343	nail	-	-	-	-	nail <9.5>	-	-	-	-	-	nail/claw <26>	-	-	-
344	cooked	-	-	-	-	cooked <5.121>	-	-	-	-	-	ripe/well-cooked <167>	-	-	-
345	push (V)	-	-	-	-	-	to push <135>	-	-	-	-	-	-	-	to push <114>
346	with	-	-	-	-	-	with (accompanying) <203>	-	-	-	-	-	-	-	with (accompanying) <194>
347	woman	-	-	-	-	-	-	-	6965 <97>	6965 <62>	-	-	-	-	-
348	bitter	-	-	-	-	bitter <15.37>	-	-	-	-	-	bitter <161>	-	-	-
349	breath	-	-	-	-	breathe, breath <4.51>	-	-	-	-	-	breath/life <39>	-	-	-
350	now	-	now, today <60>	-	-	now <14.18>	-	-	-	-	-	-	-	-	-
351	come	-	-	-	-	-	-	-	1136 <11>	1136 <9>	-	-	-	-	-
352	blunt	dull, blunt <82>	-	-	-	blunt, dull <15.79>	-	-	-	-	-	-	-	-	-
353	plant	to plant <84>	-	-	-	plant (vb) <8.531>	-	-	-	-	-	-	-	-	-
354	west	-	west <94>	-	-	west <12.46>	-	-	-	-	-	-	-	-	-
355	lightning	lightning <135>	-	-	-	lightning <1.55>	-	-	-	-	-	-	-	-	-
356	round	-	-	-	-	-	-	-	5168 <65>	5168 <44>	-	-	-	-	-
357	itch	-	-	-	-	itch <4.854>	-	-	-	-	-	itchy <156>	-	-	-
358	dove	-	-	-	-	dove <3.594>	-	-	-	-	-	dover <61>	-	-	-
359	south	-	south <75>	-	-	south <12.48>	-	-	-	-	-	-	-	-	-
360	lick (V)	-	-	-	-	lick <4.59>	-	-	-	-	-	lick <180>	-	-	-
361	silver	-	-	-	-	silver <9.65>	-	-	-	-	-	silver <95>	-	-	-
362	many	-	-	-	-	-	-	-	3759 <47>	3759 <31>	-	-	-	-	-
363	worm	-	-	-	-	-	-	-	6982 <98>	6982 <63>	-	-	-	-	-
364	hear	-	-	-	-	-	-	-	2939 <34>	2939 <22>	-	-	-	-	-
365	let go (V)	-	-	-	-	release, let go <11.34>	-	-	-	-	-	let go; set free; loosen <187>	-	-	-
366	extinguish (V)	-	-	-	-	extinguish <1.861>	-	-	-	-	-	extinguish <188>	-	-	-
367	horn	-	-	-	-	-	-	-	3055 <37>	-	3055 <38>	-	-	-	-
368	hard	-	hard <117>	-	-	hard <15.74>	-	-	-	-	-	-	-	-	-
369	dry	-	-	-	-	-	-	-	1857 <15>	1857 <11>	-	-	-	-	-
370	penis	-	-	-	-	penis <4.492>	-	-	-	-	-	penis <29>	-	-	-
371	ashes	-	-	-	-	-	-	-	260 <1>	260 <1>	-	-	-	-	-
372	that	-	-	-	-	-	-	-	6292 <83>	6292 <58>	-	-	-	-	-
373	throat	-	throat <86>	-	-	throat <4.29>	-	-	-	-	-	-	-	-	-
374	east	-	east <19>	-	-	east <12.45>	-	-	-	-	-	-	-	-	-
375	six	Six <202>	-	-	-	-	-	-	-	-	-	six <124>	-	-	-
376	chest	-	chest <12>	-	-	chest <4.4>	-	-	-	-	-	-	-	-	-
377	few	-	-	-	-	-	few <20>	-	-	-	-	-	-	-	few <47>
378	hair (head)	-	head hair <40>	-	-	-	-	-	-	-	-	hair(head) <10>	-	-	-
379	weave (V)	-	-	-	-	weave, plait <9.75>	-	-	-	-	-	waeve <193>	-	-	-
380	eight	Eight <204>	-	-	-	-	-	-	-	-	-	eight <125>	-	-	-
381	correct	correct, true <166>	-	-	-	right, correct <16.73>	-	-	-	-	-	-	-	-	-
382	thunder	thunder <134>	-	-	-	thunder <1.56>	-	-	-	-	-	-	-	-	-
383	short	-	-	-	-	-	-	-	5476 <70>	5476 <48>	-	-	-	-	-
384	soil	earth/soil <119>	-	-	-	earth=ground, soil <1.212>	-	-	-	-	-	-	-	-	-
385	eye	-	-	-	-	-	-	-	2161 <20>	-	2161 <83>	-	-	-	-
386	name	-	-	-	-	-	-	-	4019 <52>	-	4019 <15>	-	-	-	-
387	hair (body)	-	-	-	-	body hair <4.144>	-	-	-	-	-	hair(body) <11>	-	-	-
388	mushroom	-	-	-	-	mushroom <8.98>	-	-	-	-	-	mushroom/fungus <49>	-	-	-
389	fly v.	-	-	-	-	-	-	-	2433 <25>	2433 <16>	-	-	-	-	-
390	armpit	-	armpit <1>	-	-	armpit <4.312>	-	-	-	-	-	-	-	-	-
391	forget (V)	-	-	-	-	forget <17.32>	-	-	-	-	-	forget <147>	-	-	-
392	fight (V)	-	-	-	-	-	to fight <111>	-	-	-	-	-	-	-	to fight <48>
393	head	-	-	-	-	-	-	-	2928 <33>	2928 <21>	-	-	-	-	-
394	insect	-	-	-	-	insect <3.81>	-	-	-	-	-	insect, bug, vermin <59>	-	-	-
395	forehead	-	forehead <33>	-	-	forehead <4.205>	-	-	-	-	-	-	-	-	-
396	mud	-	mud <135>	-	-	mud <1.214>	-	-	-	-	-	-	-	-	-
397	seven	Seven <203>	-	-	-	-	-	-	-	-	-	seven <117>	-	-	-
398	fly	-	fly (N) <30>	-	-	fly (vb) <10.37>	-	-	-	-	-	-	-	-	-
399	one	-	-	-	-	-	-	-	4211 <59>	-	4211 <33>	-	-	-	-
400	hide (V)	to hide <171>	-	-	-	-	-	-	-	-	-	hide <141>	-	-	-
401	kick (V)	-	-	-	-	kick <10.431>	-	-	-	-	-	kick <197>	-	-	-
402	milk	-	-	-	-	milk (vb) <5.87>	-	-	-	-	-	vagina or breast/milk <30>	-	-	-
403	chew (V)	to chew <38>	-	-	-	chew <5.18>	-	-	-	-	-	-	-	-	-
404	year	-	-	-	-	-	-	-	7019 <99>	7019 <64>	-	-	-	-	-
405	pig	-	-	-	-	pig <3.35>	-	-	-	-	-	pig <63>	-	-	-
406	float (V)	-	-	-	-	-	to float <143>	-	-	-	-	-	-	-	to float <52>
407	horse	-	-	-	-	horse (equine) <3.41>	-	-	-	-	-	horse <66>	-	-	-
408	man	-	-	-	-	-	-	-	3747 <46>	3747 <30>	-	-	-	-	-
409	eat	-	-	-	-	-	-	-	1915 <18>	1915 <13>	-	-	-	-	-
410	sit	-	-	-	-	-	-	-	5570 <71>	5570 <49>	-	-	-	-	-
411	nose	-	-	-	-	-	-	-	4103 <57>	-	4103 <2>	-	-	-	-
412	arm	-	-	-	-	arm <4.31>	-	-	-	-	-	hand/arm <12>	-	-	-
413	spider	spider <110>	-	-	-	spider <3.818>	-	-	-	-	-	-	-	-	-
414	tooth	-	-	-	-	-	-	-	6437 <88>	-	6437 <30>	-	-	-	-
415	ashamed	shy, ashamed <161>	-	-	-	-	-	-	-	-	-	ashamed <146>	-	-	-
416	freeze (V)	-	-	-	-	-	to freeze <145>	-	-	-	-	-	-	-	to freeze <59>
417	thin	-	-	-	-	-	-	-	6318 <84>	6318 <59>	-	-	-	-	-
418	walk (go)	-	-	-	-	-	-	-	6758 <91>	6758 <60>	-	-	-	-	-
419	thatch	thatch/roof <62>	-	-	-	thatch <7.52>	-	-	-	-	-	-	-	-	-
420	wind	-	-	-	-	-	-	-	6922 <96>	-	6922 <48>	-	-	-	-
421	new	-	-	-	-	-	-	-	4068 <55>	-	4068 <54>	-	-	-	-
422	son-in-law	-	-	-	-	son-in-law (of a woman) <2.631>	-	-	-	-	-	son-in-law <45>	-	-	-
423	white	-	-	-	-	-	-	-	6880 <94>	6880 <61>	-	-	-	-	-
424	brain	-	-	-	-	brain <4.203>	-	-	-	-	-	brain <31>	-	-	-
425	sell (V)	-	-	-	-	sell <11.82>	-	-	-	-	-	sell <198>	-	-	-
426	nine	Nine <205>	-	-	-	-	-	-	-	-	-	nine <126>	-	-	-
427	mortar	-	-	-	-	mortar <5.58>	-	-	-	-	-	mortar <108>	-	-	-
428	belly	-	-	-	-	-	-	-	472 <2>	472 <2>	-	-	-	-	-
429	spit	-	-	-	-	spit <4.56>	-	-	-	-	-	spit <21>	-	-	-
430	pound (V)	to pound, beat <93>	-	-	-	pound with fist <9.211>	-	-	-	-	-	-	-	-	-
431	grind (V)	-	-	-	-	crush, grind <5.56>	-	-	-	-	-	grind <184>	-	-	-
432	ear	-	-	-	-	-	-	-	1894 <16>	-	1894 <22>	-	-	-	-
433	stand	-	-	-	-	-	-	-	5880 <77>	5880 <55>	-	-	-	-	-
434	fire	-	-	-	-	-	-	-	2336 <23>	-	2336 <1>	-	-	-	-
435	hip	-	hip <128>	-	-	hip <4.463>	-	-	-	-	-	-	-	-	-
436	bite	-	bite <5>	-	-	bite <4.58>	-	-	-	-	-	-	-	-	-
437	thousand	One Thousand <210>	-	-	-	thousand <13.106>	-	-	-	-	-	-	-	-	-
438	bay	-	-	-	-	gulf, bay <1.34>	-	-	-	-	-	-	-	-	-
439	coin	-	-	-	-	coin <11.44>	-	-	-	-	-	-	-	-	-
440	ladder	-	-	-	-	ladder <7.37>	-	-	-	-	-	-	-	-	-
441	bind (V)	-	-	-	-	tie, bind <9.16>	-	-	-	-	-	-	-	-	-
442	ugly	-	-	-	-	ugly <16.82>	-	-	-	-	-	-	-	-	-
443	yard	-	-	-	-	yard, court <7.15>	-	-	-	-	-	-	-	-	-
444	aid (V)	-	-	-	-	help, aid <19.58>	-	-	-	-	-	-	-	-	-
445	swamp	-	-	-	-	swamp <1.38>	-	-	-	-	-	-	-	-	-
446	harm (V)	-	-	-	-	harm, injure, damage <11.28>	-	-	-	-	-	-	-	-	-
447	sound	-	-	-	-	sound, noise <15.44>	-	-	-	-	-	-	-	-	-
448	stable 1	-	-	-	-	stable, stall <3.19>	-	-	-	-	-	-	-	-	-
449	hire (V)	-	-	-	-	hire <11.77>	-	-	-	-	-	-	-	-	-
450	bottom	-	-	-	-	bottom <12.34>	-	-	-	-	-	-	-	-	-
451	face	-	-	-	-	face <4.204>	-	-	-	-	-	-	-	-	-
452	temple 1	-	-	-	-	temple, church <22.13>	-	-	-	-	-	-	-	-	-
453	build (V)	-	-	-	-	build <9.44>	-	-	-	-	-	-	-	-	-
454	mirror	-	-	-	-	mirror <6.96>	-	-	-	-	-	-	-	-	-
455	fry (V)	-	-	-	-	roast, fry <5.23>	-	-	-	-	-	-	-	-	-
456	sap	-	-	-	-	sap <8.76>	-	-	-	-	-	-	-	-	-
457	span	-	-	-	-	span, fathom <12.541>	-	-	-	-	-	-	-	-	-
458	rag	-	-	-	-	handkerchief, rag <6.81>	-	-	-	-	-	-	-	-	-
459	sick	-	-	-	-	sick, sickness <4.84>	-	-	-	-	-	-	-	-	-
460	earn (V)	-	-	-	-	earn <11.79>	-	-	-	-	-	-	-	-	-
461	udder	-	-	-	-	udder <4.42>	-	-	-	-	-	-	-	-	-
462	shove (V)	-	-	-	-	push, shove <10.67>	-	-	-	-	-	-	-	-	-
463	creep (V)	-	-	-	-	creep, crawl <10.41>	-	-	-	-	-	-	-	-	-
464	weigh (V)	-	-	-	-	weigh <11.92>	-	-	-	-	-	-	-	-	-
465	knead (V)	-	-	-	-	knead <5.54>	-	-	-	-	-	-	-	-	-
466	widower	-	-	-	-	widower <2.77>	-	-	-	-	-	-	-	-	-
467	blister	-	-	-	-	blister <4.855>	-	-	-	-	-	-	-	-	-
468	rule (V)	-	-	-	-	rule, govern <19.31>	-	-	-	-	-	-	-	-	-
469	shade/shadow	-	-	-	-	-	-	-	-	-	5410 <92>	-	-	-	-
470	tin	-	-	-	-	tin, tinplate <9.69>	-	-	-	-	-	-	-	-	-
471	to laugh	-	-	-	-	-	-	-	-	-	3475 <61>	-	-	-	-
472	reckon (V)	-	-	-	-	account, reckoning <11.66>	-	-	-	-	-	-	-	-	-
473	beat (V)	to pound, beat <93>	-	-	-	-	-	-	-	-	-	-	-	-	-
474	fence	-	-	-	-	fence <8.16>	-	-	-	-	-	-	-	-	-
475	jump (V)	-	-	-	-	jump, leap <10.43>	-	-	-	-	-	-	-	-	-
476	to bite	-	-	-	-	-	-	-	-	-	536 <46>	-	-	-	-
477	who?	-	-	-	-	-	-	-	-	-	6887 <34>	-	-	-	-
478	fish net	-	-	-	-	fishnet <20.54>	-	-	-	-	-	-	-	-	-
479	egg yolk	-	-	-	-	egg yolk <5.971>	-	-	-	-	-	-	-	-	-
480	blame	-	-	-	-	blame <16.78>	-	-	-	-	-	-	-	-	-
481	torch	-	-	-	-	lamp, torch <7.45>	-	-	-	-	-	-	-	-	-
482	explain (V)	-	-	-	-	explain <17.38>	-	-	-	-	-	-	-	-	-
483	urine	-	urine <92>	-	-	-	-	-	-	-	-	-	-	-	-
484	fart (V)	-	-	-	-	break wind <4.64>	-	-	-	-	-	-	-	-	-
485	destroy (V)	-	-	-	-	destroy <11.27>	-	-	-	-	-	-	-	-	-
486	intention	-	-	-	-	intention, purpose <17.41>	-	-	-	-	-	-	-	-	-
487	poison	-	-	-	-	poison <4.89>	-	-	-	-	-	-	-	-	-
488	rebuke (V)	-	-	-	-	rebuke, scold <18.39>	-	-	-	-	-	-	-	-	-
489	skin/hide	-	-	-	-	-	-	-	-	-	5585 <68>	-	-	-	-
490	dream (V)	-	-	-	-	-	-	-	-	-	-	dream <148>	-	-	-
491	bare	-	-	-	-	naked, bare <4.99>	-	-	-	-	-	-	-	-	-
492	shin	-	shin <103>	-	-	-	-	-	-	-	-	-	-	-	-
493	pointed	-	-	-	-	pointed <12.352>	-	-	-	-	-	-	-	-	-
494	hew (V)	-	-	-	-	chop, hew <9.222>	-	-	-	-	-	-	-	-	-
495	fear	to fear <22>	-	-	-	-	-	-	-	-	-	-	-	-	-
496	open	-	-	-	-	open <12.24>	-	-	-	-	-	-	-	-	-
497	cockroach	-	-	-	-	cockroach <3.816>	-	-	-	-	-	-	-	-	-
498	lunch	-	-	-	-	lunch <5.43>	-	-	-	-	-	-	-	-	-
499	to blow	-	-	-	-	-	-	-	-	-	585 <79>	-	-	-	-
500	creek	-	creek <113>	-	-	-	-	-	-	-	-	-	-	-	-
501	fathom	-	-	-	-	span, fathom <12.541>	-	-	-	-	-	-	-	-	-
502	up	-	up <91>	-	-	-	-	-	-	-	-	-	-	-	-
503	bridge	-	-	-	-	bridge <10.74>	-	-	-	-	-	-	-	-	-
504	silent	-	-	-	-	quiet, silence <15.46>	-	-	-	-	-	-	-	-	-
505	daughter	-	-	-	-	daughter <2.42>	-	-	-	-	-	-	-	-	-
506	shade/shadow	-	-	-	-	-	-	-	-	-	5408 <92>	-	-	-	-
507	anger	-	-	-	-	anger <16.42>	-	-	-	-	-	-	-	-	-
508	ox	-	-	-	-	ox <3.22>	-	-	-	-	-	-	-	-	-
509	look for (V)	-	-	-	-	seek, look for <11.31>	-	-	-	-	-	-	-	-	-
510	sweat	-	-	-	-	-	-	-	-	-	-	sweat <35>	-	-	-
511	empty	-	-	-	-	empty <13.22>	-	-	-	-	-	-	-	-	-
512	beer	-	-	-	-	beer <5.93>	-	-	-	-	-	-	-	-	-
513	reef	-	-	-	-	reef <1.342>	-	-	-	-	-	-	-	-	-
514	parent	-	-	-	-	parents <2.37>	-	-	-	-	-	-	-	-	-
515	deaf	-	-	-	-	deaf <4.95>	-	-	-	-	-	-	-	-	-
516	palm	-	-	-	-	-	-	-	-	-	-	palm <28>	-	-	-
517	snail	-	-	-	-	snail <3.94>	-	-	-	-	-	-	-	-	-
518	spade	-	-	-	-	spade <8.23>	-	-	-	-	-	-	-	-	-
519	gnat	-	-	-	-	sandfly (midge), gnat <3.831>	-	-	-	-	-	-	-	-	-
520	speak (V)	-	to speak <76>	-	-	-	-	-	-	-	-	-	-	-	-
521	cough (V)	-	-	-	-	-	-	-	-	-	-	cough <134>	-	-	-
522	time	-	-	-	-	time <14.11>	-	-	-	-	-	-	-	-	-
523	like	-	-	-	-	like, similar <12.92>	-	-	-	-	-	-	-	-	-
524	splash (V)	-	-	-	-	splash <10.352>	-	-	-	-	-	-	-	-	-
525	he	-	-	-	-	he/she/it <2.93>	-	-	-	-	-	-	-	-	-
526	she	-	-	-	-	he/she/it <2.93>	-	-	-	-	-	-	-	-	-
527	call (V)	-	-	-	-	call (=summon) <18.41>	-	-	-	-	-	-	-	-	-
528	vagina	-	-	-	-	-	-	-	-	-	-	vagina or breast/milk <30>	-	-	-
529	cut down (V)	-	-	-	-	cut down <9.221>	-	-	-	-	-	-	-	-	-
530	ditch	-	-	-	-	ditch <8.17>	-	-	-	-	-	-	-	-	-
531	wasp	-	-	-	-	wasp <3.823>	-	-	-	-	-	-	-	-	-
532	cry out (V)	-	-	-	-	shout, cry out <18.13>	-	-	-	-	-	-	-	-	-
533	fermented drink	-	-	-	-	fermented drink <5.94>	-	-	-	-	-	-	-	-	-
534	quarrel (V)	-	-	-	-	strife, quarrel <19.62>	-	-	-	-	-	-	-	-	-
535	blanket	-	-	-	-	blanket <7.422>	-	-	-	-	-	-	-	-	-
536	wise	-	-	-	-	wise <17.21>	-	-	-	-	-	-	-	-	-
537	shut (V)	-	-	-	-	shut, close <12.25>	-	-	-	-	-	-	-	-	-
538	quiet	-	-	-	-	quiet, silence <15.46>	-	-	-	-	-	-	-	-	-
539	brook	-	-	-	-	river, stream, brook <1.36>	-	-	-	-	-	-	-	-	-
540	carry in arms (V)	-	-	-	-	carry-underarm <10.615>	-	-	-	-	-	-	-	-	-
541	cross (V)	-	-	-	-	cross <12.77>	-	-	-	-	-	-	-	-	-
542	middle	-	-	-	-	middle, center <12.37>	-	-	-	-	-	-	-	-	-
543	navel	-	-	-	-	-	-	-	-	-	4038 <44>	-	-	-	-
544	roll	-	-	-	-	roll <10.15>	-	-	-	-	-	-	-	-	-
545	jamb	-	-	-	-	doorpost, jamb <7.221>	-	-	-	-	-	-	-	-	-
546	fireplace	-	-	-	-	fireplace <7.31>	-	-	-	-	-	-	-	-	-
547	pelican	-	pelican <131>	-	-	-	-	-	-	-	-	-	-	-	-
548	get (V)	-	-	-	-	get, obtain <11.16>	-	-	-	-	-	-	-	-	-
549	talk (V)	-	-	-	-	speak, talk <18.21>	-	-	-	-	-	-	-	-	-
550	touch (V)	-	-	-	-	touch <15.71>	-	-	-	-	-	-	-	-	-
551	beehive	-	-	-	-	beehive <3.822>	-	-	-	-	-	-	-	-	-
552	stand	-	-	-	-	stand <12.15>	-	-	-	-	-	-	-	-	-
553	teacher	-	-	-	-	teacher <17.27>	-	-	-	-	-	-	-	-	-
554	testicle	-	-	-	-	testicle <4.49>	-	-	-	-	-	-	-	-	-
555	sour	-	-	-	-	acid, sour <15.38>	-	-	-	-	-	-	-	-	-
556	ignite (V)	-	-	-	-	light, kindle, ignite <1.86>	-	-	-	-	-	-	-	-	-
557	to give	-	-	-	-	-	-	-	-	-	2648 <53>	-	-	-	-
558	beautiful	-	-	-	-	beautiful <16.81>	-	-	-	-	-	-	-	-	-
559	pity	-	-	-	-	pity <16.35>	-	-	-	-	-	-	-	-	-
560	kid	-	-	-	-	kid <3.38>	-	-	-	-	-	-	-	-	-
561	stall	-	-	-	-	stable, stall <3.19>	-	-	-	-	-	-	-	-	-
562	merchant	-	-	-	-	merchant <11.84>	-	-	-	-	-	-	-	-	-
563	to carry	-	-	-	-	-	-	-	-	-	879 <70>	-	-	-	-
564	crouch (V)	-	-	-	-	crouch <10.413>	-	-	-	-	-	-	-	-	-
565	soon	-	-	-	-	soon <14.331>	-	-	-	-	-	-	-	-	-
