ID	Gloss	abvd	alpher	asjp	dolgo	ids	ielex	jach100	jach65	jachontov	leijaka	matisoff	starostin	swadesh100	swadesh100b	swadesh200
481	broom	-	-	-	-	broom <9.38>	-	-	-	-	-	-	-	-	-	-
482	dye (V)	-	-	-	-	dye <6.39>	-	-	-	-	-	-	-	-	-	-
483	light 2	-	-	-	-	light (in color) <15.62>	-	-	-	-	-	-	-	-	-	-
484	carve (V)	-	-	-	-	carve <9.81>	-	-	-	-	-	-	-	-	-	-
485	pubic hair	-	-	-	-	pubic hair <4.145>	-	-	-	-	-	-	-	-	-	-
486	chief	-	-	-	-	chief, chieftain <19.24>	-	-	-	-	-	-	-	-	-	-
487	ill	-	-	-	-	-	-	-	-	-	-	ill <154>	-	-	-	-
488	time	-	-	-	-	time <14.11>	-	-	-	-	-	-	-	-	-	-
489	sound	-	-	-	-	sound, noise <15.44>	-	-	-	-	-	-	-	-	-	-
490	sugar	-	-	-	-	sugar cane <8.941>	-	-	-	-	-	-	-	-	-	-
491	paint (V)	-	-	-	-	paint (noun) <9.88>	-	-	-	-	-	-	-	-	-	-
492	mow (V)	-	-	-	-	mow, reap <8.32>	-	-	-	-	-	-	-	-	-	-
493	piece	-	-	-	-	part, piece <13.23>	-	-	-	-	-	-	-	-	-	-
494	parrot	-	-	-	-	parrot <3.592>	-	-	-	-	-	-	-	-	-	-
495	float	-	-	-	-	float <10.34>	-	-	-	-	-	-	-	-	-	-
496	pawn	-	-	-	-	farmer <8.11>	-	-	-	-	-	-	-	-	-	-
497	hot	-	-	-	-	hot <15.85>	-	-	-	-	-	-	-	-	-	-
498	aunt	-	-	-	-	aunt <2.52>	-	-	-	-	-	-	-	-	-	-
499	foal	-	-	-	-	foal, colt <3.45>	-	-	-	-	-	-	-	-	-	-
500	send (V)	-	-	-	-	send <10.63>	-	-	-	-	-	-	-	-	-	-
501	rye	-	-	-	-	rye <8.45>	-	-	-	-	-	-	-	-	-	-
502	crow	-	-	-	-	crow <3.593>	-	-	-	-	-	-	-	-	-	-
503	court	-	-	-	-	yard, court <7.15>	-	-	-	-	-	-	-	-	-	-
504	yawn (V)	to yawn <47>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
505	gourd	-	-	-	-	gourd <8.93>	-	-	-	-	-	-	-	-	-	-
506	insane	-	-	-	-	insane, crazy <17.23>	-	-	-	-	-	-	-	-	-	-
507	embers	-	-	-	-	embers <1.841>	-	-	-	-	-	-	-	-	-	-
508	guard	-	-	-	-	guard, sentinel <20.471>	-	-	-	-	-	-	-	-	-	-
509	bull	-	-	-	-	bull <3.21>	-	-	-	-	-	-	-	-	-	-
510	dance	-	-	-	-	dance <10.44>	-	-	-	-	-	-	-	-	-	-
511	hut	-	-	-	-	hut <7.13>	-	-	-	-	-	-	-	-	-	-
512	roll	-	-	-	-	roll <10.15>	-	-	-	-	-	-	-	-	-	-
513	honey	-	-	-	-	honey <5.84>	-	-	-	-	-	-	-	-	-	-
514	bind (V)	-	-	-	-	tie, bind <9.16>	-	-	-	-	-	-	-	-	-	-
515	infant	-	-	-	-	infant, baby <2.28>	-	-	-	-	-	-	-	-	-	-
516	break (V)	-	-	-	-	break <9.26>	-	-	-	-	-	-	-	-	-	-
517	swear (V)	-	-	-	-	swear <21.24>	-	-	-	-	-	-	-	-	-	-
518	midday	-	-	-	-	noon, midday <14.45>	-	-	-	-	-	-	-	-	-	-
519	cousin	-	-	-	-	cousin <2.55>	-	-	-	-	-	-	-	-	-	-
520	row	-	-	-	-	row (vb) <10.852>	-	-	-	-	-	-	-	-	-	-
521	bare	-	-	-	-	naked, bare <4.99>	-	-	-	-	-	-	-	-	-	-
522	egg yolk	-	-	-	-	egg yolk <5.971>	-	-	-	-	-	-	-	-	-	-
523	door	-	-	-	-	door, gate <7.22>	-	-	-	-	-	-	-	-	-	-
524	stone	-	-	-	-	stone, rock <1.44>	-	-	-	-	-	-	-	-	-	-
525	teach (V)	-	-	-	-	teach <17.25>	-	-	-	-	-	-	-	-	-	-
526	light (V)	-	-	-	-	light, kindle, ignite <1.86>	-	-	-	-	-	-	-	-	-	-
527	reach (V)	-	-	-	-	reach, arrive <10.55>	-	-	-	-	-	-	-	-	-	-
528	god	-	-	-	-	God <22.12>	-	-	-	-	-	-	-	-	-	-
529	astonish	-	-	-	-	surprised, astonished <16.15>	-	-	-	-	-	-	-	-	-	-
530	nothing	-	-	-	-	zero, nothing <13.0>	-	-	-	-	-	-	-	-	-	-
531	announce (V)	-	-	-	-	announce <18.43>	-	-	-	-	-	-	-	-	-	-
532	cheek	-	-	-	-	cheek <4.208>	-	-	-	-	-	-	-	-	-	-
533	calm	-	-	-	-	calm (of sea) <1.322>	-	-	-	-	-	-	-	-	-	-
534	first	-	-	-	-	first <13.34>	-	-	-	-	-	-	-	-	-	-
535	cap	-	-	-	-	hat, cap <6.55>	-	-	-	-	-	-	-	-	-	-
536	fold	-	-	-	-	fold <9.15>	-	-	-	-	-	-	-	-	-	-
537	latch	-	-	-	-	latch, door-bolt <7.231>	-	-	-	-	-	-	-	-	-	-
538	end	-	-	-	-	end (temporal) <14.26>	-	-	-	-	-	-	-	-	-	-
539	circle	-	-	-	-	circle <12.82>	-	-	-	-	-	-	-	-	-	-
540	wrong	-	-	-	-	wrong <16.74>	-	-	-	-	-	-	-	-	-	-
541	lock 1	-	-	-	-	lock (noun) <7.23>	-	-	-	-	-	-	-	-	-	-
542	guess (V)	-	-	-	-	guess <17.171>	-	-	-	-	-	-	-	-	-	-
543	pointed	-	-	-	-	pointed <12.352>	-	-	-	-	-	-	-	-	-	-
544	set free (V)	-	-	-	-	-	-	-	-	-	-	let go; set free; loosen <187>	-	-	-	-
545	wise	-	-	-	-	wise <17.21>	-	-	-	-	-	-	-	-	-	-
546	tired	-	-	-	-	tired, weary <4.91>	-	-	-	-	-	-	-	-	-	-
547	window	-	-	-	-	window <7.25>	-	-	-	-	-	-	-	-	-	-
548	girdle	-	-	-	-	belt, girdle <6.57>	-	-	-	-	-	-	-	-	-	-
549	drop	-	-	-	-	drop (vb) <10.16>	-	-	-	-	-	-	-	-	-	-
550	tool	-	-	-	-	tool <9.422>	-	-	-	-	-	-	-	-	-	-
551	dive (V)	-	-	-	-	dive <10.351>	-	-	-	-	-	-	-	-	-	-
552	aid (V)	-	-	-	-	help, aid <19.58>	-	-	-	-	-	-	-	-	-	-
553	damp	-	-	-	-	wet, damp <15.83>	-	-	-	-	-	-	-	-	-	-
554	scold (V)	-	-	-	-	rebuke, scold <18.39>	-	-	-	-	-	-	-	-	-	-
555	ram	-	-	-	-	ram <3.26>	-	-	-	-	-	-	-	-	-	-
556	fungus	-	-	-	-	-	-	-	-	-	-	mushroom/fungus <49>	-	-	-	-
557	post	-	-	-	-	post, pole <7.56>	-	-	-	-	-	-	-	-	-	-
558	begin (V)	-	-	-	-	begin, beginning <14.25>	-	-	-	-	-	-	-	-	-	-
559	feel (V)	-	-	-	-	feel <15.72>	-	-	-	-	-	-	-	-	-	-
560	crop 1	-	-	-	-	goiter <4.842>	-	-	-	-	-	-	-	-	-	-
561	gill	-	-	-	-	gill <3.654>	-	-	-	-	-	-	-	-	-	-
562	die (V)	-	-	-	-	die, dead <4.75>	-	-	-	-	-	-	-	-	-	-
563	embrace (V)	-	-	-	-	embrace <16.3>	-	-	-	-	-	-	-	-	-	-
564	key	-	-	-	-	key <7.24>	-	-	-	-	-	-	-	-	-	-
565	shoulderblade	-	-	-	-	shoulderblade <4.301>	-	-	-	-	-	-	-	-	-	-
566	dish	-	-	-	-	dish <5.31>	-	-	-	-	-	-	-	-	-	-
567	stable 1	-	-	-	-	stable, stall <3.19>	-	-	-	-	-	-	-	-	-	-
568	again	-	-	-	-	again <14.35>	-	-	-	-	-	-	-	-	-	-
569	money	-	-	-	-	money <11.43>	-	-	-	-	-	-	-	-	-	-
570	kneel (V)	-	-	-	-	kneel <10.412>	-	-	-	-	-	-	-	-	-	-
571	daughter	-	-	-	-	daughter <2.42>	-	-	-	-	-	-	-	-	-	-
572	mat	-	-	-	-	mat <9.77>	-	-	-	-	-	-	-	-	-	-
573	yoke	-	-	-	-	yoke <10.78>	-	-	-	-	-	-	-	-	-	-
574	statue	-	-	-	-	statue <9.83>	-	-	-	-	-	-	-	-	-	-
575	evil	bad, evil <165>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
576	tell (V)	-	-	-	-	tell story <18.221>	-	-	-	-	-	-	-	-	-	-
577	laugh	-	-	-	-	laugh <16.25>	-	-	-	-	-	-	-	-	-	-
578	stepfather	-	-	-	-	stepfather <2.71>	-	-	-	-	-	-	-	-	-	-
579	strike (V)	-	-	-	-	strike (hit, beat) <9.21>	-	-	-	-	-	-	-	-	-	-
580	sink (V)	-	-	-	-	sink <10.33>	-	-	-	-	-	-	-	-	-	-
581	temple 1	-	-	-	-	temple, church <22.13>	-	-	-	-	-	-	-	-	-	-
582	carriage	-	-	-	-	carriage, wagon, cart <10.75>	-	-	-	-	-	-	-	-	-	-
583	deep	-	-	-	-	deep <12.67>	-	-	-	-	-	-	-	-	-	-
584	fragrant	-	-	-	-	fragrant, good smelling <15.25>	-	-	-	-	-	-	-	-	-	-
585	hate	-	-	-	-	hate <16.41>	-	-	-	-	-	-	-	-	-	-
586	conceal (V)	-	-	-	-	hide, conceal <12.27>	-	-	-	-	-	-	-	-	-	-
587	omen	-	-	-	-	omen, portent <22.47>	-	-	-	-	-	-	-	-	-	-
588	sore	-	-	-	-	wound, sore <4.85>	-	-	-	-	-	-	-	-	-	-
589	torch	-	-	-	-	lamp, torch <7.45>	-	-	-	-	-	-	-	-	-	-
590	skull	-	-	-	-	skull <4.202>	-	-	-	-	-	-	-	-	-	-
591	firefly	-	-	-	-	firefly <3.91>	-	-	-	-	-	-	-	-	-	-
592	well 2	-	-	-	-	spring, well <1.37>	-	-	-	-	-	-	-	-	-	-
593	oats	-	-	-	-	oats <8.46>	-	-	-	-	-	-	-	-	-	-
594	charcoal	-	-	-	-	charcoal <1.89>	-	-	-	-	-	-	-	-	-	-
595	cattle	-	-	-	-	cattle (bovine) <3.2>	-	-	-	-	-	-	-	-	-	-
596	bread	-	-	-	-	bread <5.51>	-	-	-	-	-	-	-	-	-	-
597	borrow	-	-	-	-	borrow <11.62>	-	-	-	-	-	-	-	-	-	-
598	suspect (V)	-	-	-	-	suspect <17.44>	-	-	-	-	-	-	-	-	-	-
599	spin (V)	-	-	-	-	spin <6.31>	-	-	-	-	-	-	-	-	-	-
600	danger	-	-	-	-	danger <16.54>	-	-	-	-	-	-	-	-	-	-
601	pair	-	-	-	-	pair <13.37>	-	-	-	-	-	-	-	-	-	-
602	reap (V)	-	-	-	-	mow, reap <8.32>	-	-	-	-	-	-	-	-	-	-
603	canoe	-	-	-	-	canoe <10.831>	-	-	-	-	-	-	-	-	-	-
604	part	-	-	-	-	part, piece <13.23>	-	-	-	-	-	-	-	-	-	-
605	turtle	-	-	-	-	turtle <3.98>	-	-	-	-	-	-	-	-	-	-
606	ditch	-	-	-	-	ditch <8.17>	-	-	-	-	-	-	-	-	-	-
607	blame	-	-	-	-	blame <16.78>	-	-	-	-	-	-	-	-	-	-
608	price	-	-	-	-	price <11.87>	-	-	-	-	-	-	-	-	-	-
609	snail	-	-	-	-	snail <3.94>	-	-	-	-	-	-	-	-	-	-
610	stall	-	-	-	-	stable, stall <3.19>	-	-	-	-	-	-	-	-	-	-
611	knife	-	-	-	-	knife <5.38>	-	-	-	-	-	-	-	-	-	-
612	all	-	-	-	-	every, all <13.14>	-	-	-	-	-	-	-	-	-	-
613	join (V)	-	-	-	-	join, unite <12.22>	-	-	-	-	-	-	-	-	-	-
614	pelican	-	pelican <131>	-	-	-	-	-	-	-	-	-	-	-	-	-
615	taste	-	-	-	-	taste <15.31>	-	-	-	-	-	-	-	-	-	-
616	fry (V)	-	-	-	-	roast, fry <5.23>	-	-	-	-	-	-	-	-	-	-
617	ornament	-	-	-	-	ornament, adornment <6.71>	-	-	-	-	-	-	-	-	-	-
618	bake (V)	-	-	-	-	bake <5.24>	-	-	-	-	-	-	-	-	-	-
619	pandanus	-	pandanus <150>	-	-	-	-	-	-	-	-	-	-	-	-	-
620	turn over (V)	-	-	-	-	turn over <10.12>	-	-	-	-	-	-	-	-	-	-
621	handkerchief	-	-	-	-	handkerchief, rag <6.81>	-	-	-	-	-	-	-	-	-	-
622	request (V)	-	-	-	-	ask, request <18.35>	-	-	-	-	-	-	-	-	-	-
623	half	-	-	-	-	half <13.24>	-	-	-	-	-	-	-	-	-	-
624	right side	-	-	-	-	right (side) <12.41>	-	-	-	-	-	-	-	-	-	-
625	slip (V)	-	-	-	-	slide, slip <10.42>	-	-	-	-	-	-	-	-	-	-
626	dream (V)	-	-	-	-	-	-	-	-	-	-	dream <148>	-	-	-	-
627	cave	-	-	-	-	cave <1.28>	-	-	-	-	-	-	-	-	-	-
628	middle	-	-	-	-	middle, center <12.37>	-	-	-	-	-	-	-	-	-	-
629	rest	-	-	-	-	rest <4.912>	-	-	-	-	-	-	-	-	-	-
630	oil	-	-	-	-	oil <5.79>	-	-	-	-	-	-	-	-	-	-
631	deaf	-	-	-	-	deaf <4.95>	-	-	-	-	-	-	-	-	-	-
632	father's brother	-	-	-	-	father's brother <2.512>	-	-	-	-	-	-	-	-	-	-
633	unite (V)	-	-	-	-	join, unite <12.22>	-	-	-	-	-	-	-	-	-	-
634	fall down (V)	-	-	-	-	-	-	-	-	-	-	fall (from a height) <137>	-	-	-	-
635	shirt	-	-	-	-	shirt <6.44>	-	-	-	-	-	-	-	-	-	-
636	palm	-	-	-	-	-	-	-	-	-	-	palm <28>	-	-	-	-
637	cultivate (V)	-	-	-	-	cultivate, till <8.15>	-	-	-	-	-	-	-	-	-	-
638	dinner	-	-	-	-	dinner <5.44>	-	-	-	-	-	-	-	-	-	-
639	bad	-	-	-	-	misfortune, bad luck <16.19>	-	-	-	-	-	-	-	-	-	-
640	span	-	-	-	-	span, fathom <12.541>	-	-	-	-	-	-	-	-	-	-
641	mother-in-law	-	-	-	-	mother-in-law (of a woman) <2.621>	-	-	-	-	-	-	-	-	-	-
642	strong	-	-	-	-	strong, mighty, powerful <4.81>	-	-	-	-	-	-	-	-	-	-
643	destroy (V)	-	-	-	-	destroy <11.27>	-	-	-	-	-	-	-	-	-	-
644	square	-	-	-	-	square <12.78>	-	-	-	-	-	-	-	-	-	-
645	staff	-	-	-	-	staff, walking stick <19.25>	-	-	-	-	-	-	-	-	-	-
646	spear (V)	-	to spear <108>	-	-	-	-	-	-	-	-	-	-	-	-	-
647	winter	-	-	-	-	winter <14.74>	-	-	-	-	-	-	-	-	-	-
648	stove	-	-	-	-	stove <7.32>	-	-	-	-	-	-	-	-	-	-
649	splash (V)	-	-	-	-	splash <10.352>	-	-	-	-	-	-	-	-	-	-
650	cat	-	-	-	-	cat <3.62>	-	-	-	-	-	-	-	-	-	-
651	clothes	-	-	-	-	clothing, clothes <6.12>	-	-	-	-	-	-	-	-	-	-
652	go down (V)	-	-	-	-	go down <10.473>	-	-	-	-	-	-	-	-	-	-
653	fan	-	-	-	-	fan (noun) <9.79>	-	-	-	-	-	-	-	-	-	-
654	line	-	-	-	-	line <12.84>	-	-	-	-	-	-	-	-	-	-
655	dawn	-	-	-	-	dawn <14.43>	-	-	-	-	-	-	-	-	-	-
656	shiver (V)	-	-	-	-	shiver <4.68>	-	-	-	-	-	-	-	-	-	-
657	top	-	-	-	-	top <12.33>	-	-	-	-	-	-	-	-	-	-
658	nettle	-	-	-	-	nettle <8.97>	-	-	-	-	-	-	-	-	-	-
659	anger	-	-	-	-	anger <16.42>	-	-	-	-	-	-	-	-	-	-
660	learn (V)	-	-	-	-	learn <17.24>	-	-	-	-	-	-	-	-	-	-
661	one	-	-	-	-	one <13.1>	-	-	-	-	-	-	-	-	-	-
662	teat	-	-	-	-	nipple, teat <4.412>	-	-	-	-	-	-	-	-	-	-
663	move (V)	-	-	-	-	move <10.11>	-	-	-	-	-	-	-	-	-	-
664	place (V)	-	-	-	-	-	-	-	-	-	-	put, place <199>	-	-	-	-
665	retreat (V)	-	-	-	-	retreat <20.45>	-	-	-	-	-	-	-	-	-	-
666	drip (V)	-	-	-	-	drip <10.24>	-	-	-	-	-	-	-	-	-	-
667	every	-	-	-	-	every, all <13.14>	-	-	-	-	-	-	-	-	-	-
668	stop (V)	-	-	-	-	cease, stop <14.28>	-	-	-	-	-	-	-	-	-	-
669	shop	-	-	-	-	store, shop <11.86>	-	-	-	-	-	-	-	-	-	-
670	acid	-	-	-	-	acid, sour <15.38>	-	-	-	-	-	-	-	-	-	-
671	ear-ring	-	-	-	-	earring <6.77>	-	-	-	-	-	-	-	-	-	-
672	cross (V)	-	-	-	-	cross <12.77>	-	-	-	-	-	-	-	-	-	-
673	go away (V)	-	-	-	-	go away, depart <10.49>	-	-	-	-	-	-	-	-	-	-
674	fish poison	-	-	-	-	fish poison (root) <8.96>	-	-	-	-	-	-	-	-	-	-
675	grasp (V)	-	-	-	-	seize, grasp <11.14>	-	-	-	-	-	-	-	-	-	-
676	clean	-	-	-	-	clean <15.87>	-	-	-	-	-	-	-	-	-	-
677	glass	-	-	-	-	glass <9.74>	-	-	-	-	-	-	-	-	-	-
678	shadow	-	-	-	-	-	-	-	-	-	-	shade/shadow <97>	-	-	-	-
679	lazy	-	-	-	-	lazy <4.92>	-	-	-	-	-	-	-	-	-	-
680	cloth	-	-	-	-	cloth <6.21>	-	-	-	-	-	-	-	-	-	-
681	yard	-	-	-	-	yard, court <7.15>	-	-	-	-	-	-	-	-	-	-
682	spring 2	-	-	-	-	spring <14.75>	-	-	-	-	-	-	-	-	-	-
683	kettle	-	-	-	-	kettle <5.27>	-	-	-	-	-	-	-	-	-	-
684	green	-	-	-	-	green, unripe <5.124>	-	-	-	-	-	-	-	-	-	-
685	heron	-	-	-	-	heron <3.583>	-	-	-	-	-	-	-	-	-	-
686	fish scale	-	-	-	-	fishscale <3.653>	-	-	-	-	-	-	-	-	-	-
687	notion	-	-	-	-	idea, notion <17.19>	-	-	-	-	-	-	-	-	-	-
688	scar	-	-	-	-	scar <4.858>	-	-	-	-	-	-	-	-	-	-
689	colour	-	-	-	-	color <15.61>	-	-	-	-	-	-	-	-	-	-
690	braid	-	-	-	-	braid <6.921>	-	-	-	-	-	-	-	-	-	-
691	squeeze (V)	-	-	-	-	squeeze, wring <9.343>	-	-	-	-	-	-	-	-	-	-
692	nape of neck	-	-	-	-	nape of neck <4.281>	-	-	-	-	-	-	-	-	-	-
693	speak (V)	-	-	-	-	speak, talk <18.21>	-	-	-	-	-	-	-	-	-	-
694	stupid	-	-	-	-	foolish, stupid <17.22>	-	-	-	-	-	-	-	-	-	-
695	grain	-	-	-	-	grain (barley, oats etc) <8.42>	-	-	-	-	-	-	-	-	-	-
696	mead	-	-	-	-	mead <5.91>	-	-	-	-	-	-	-	-	-	-
697	younger brother	-	-	-	-	younger brother <2.445>	-	-	-	-	-	-	-	-	-	-
698	boot	-	-	-	-	boot <6.52>	-	-	-	-	-	-	-	-	-	-
699	mother's brother	-	-	-	-	mother's brother <2.511>	-	-	-	-	-	-	-	-	-	-
700	mucus	-	-	-	-	mucus (nasal) <4.232>	-	-	-	-	-	-	-	-	-	-
701	dew	-	-	-	-	dew <1.64>	-	-	-	-	-	-	-	-	-	-
702	flame	-	-	-	-	flame (noun) <1.82>	-	-	-	-	-	-	-	-	-	-
703	sneeze (V)	-	-	-	-	sneeze <4.54>	-	-	-	-	-	-	-	-	-	-
704	fox	-	-	-	-	fox <3.74>	-	-	-	-	-	-	-	-	-	-
705	adornment	-	-	-	-	ornament, adornment <6.71>	-	-	-	-	-	-	-	-	-	-
706	broken	-	-	-	-	broken <9.261>	-	-	-	-	-	-	-	-	-	-
707	spider web	-	-	-	-	spider web <3.819>	-	-	-	-	-	-	-	-	-	-
708	rudder	-	-	-	-	rudder <10.86>	-	-	-	-	-	-	-	-	-	-
709	poor	-	-	-	-	poor <11.52>	-	-	-	-	-	-	-	-	-	-
710	waist	-	-	-	-	waist <4.462>	-	-	-	-	-	-	-	-	-	-
711	collect (V)	-	-	-	-	collect, gather <12.21>	-	-	-	-	-	-	-	-	-	-
712	untie (V)	-	-	-	-	untie <9.161>	-	-	-	-	-	-	-	-	-	-
713	marry (V)	-	-	-	-	marry <2.33>	-	-	-	-	-	-	-	-	-	-
714	promise (V)	-	-	-	-	promise <18.36>	-	-	-	-	-	-	-	-	-	-
715	parent	-	-	-	-	parents <2.37>	-	-	-	-	-	-	-	-	-	-
716	relative	-	-	-	-	relatives, kinsmen <2.81>	-	-	-	-	-	-	-	-	-	-
717	rodent	-	-	-	-	-	-	-	-	-	-	rat/rodent <69>	-	-	-	-
718	brave	-	-	-	-	brave <16.52>	-	-	-	-	-	-	-	-	-	-
719	cheat (V)	-	-	-	-	betray <17.441>	-	-	-	-	-	-	-	-	-	-
720	smile (V)	-	-	-	-	smile <16.251>	-	-	-	-	-	-	-	-	-	-
721	glue	-	-	-	-	glue <9.56>	-	-	-	-	-	-	-	-	-	-
722	want	-	-	-	-	desire, want <16.62>	-	-	-	-	-	-	-	-	-	-
723	happy	-	-	-	-	joyful, glad, happy <16.23>	-	-	-	-	-	-	-	-	-	-
724	late	-	-	-	-	late <14.17>	-	-	-	-	-	-	-	-	-	-
725	spirit	-	-	-	-	soul, spirit <16.11>	-	-	-	-	-	-	-	-	-	-
726	govern (V)	-	-	-	-	rule, govern <19.31>	-	-	-	-	-	-	-	-	-	-
727	share (V)	-	-	-	-	share (distribute) <11.91>	-	-	-	-	-	-	-	-	-	-
728	comb	-	-	-	-	comb <6.91>	-	-	-	-	-	-	-	-	-	-
729	bury (V)	-	-	-	-	bury (the dead) <4.78>	-	-	-	-	-	-	-	-	-	-
730	touch (V)	-	-	-	-	touch <15.71>	-	-	-	-	-	-	-	-	-	-
731	plate	-	-	-	-	plate <5.32>	-	-	-	-	-	-	-	-	-	-
732	grape	-	-	-	-	grape <5.76>	-	-	-	-	-	-	-	-	-	-
733	joint	-	-	-	-	-	-	-	-	-	-	joint <98>	-	-	-	-
734	ascend (V)	-	-	-	-	-	-	-	-	-	-	climb, ascend <138>	-	-	-	-
735	shove (V)	-	-	-	-	push, shove <10.67>	-	-	-	-	-	-	-	-	-	-
736	bless (V)	-	-	-	-	bless <22.23>	-	-	-	-	-	-	-	-	-	-
737	chilli-pepper	-	-	-	-	chili pepper <5.821>	-	-	-	-	-	-	-	-	-	-
738	blind	-	-	-	-	blind <4.97>	-	-	-	-	-	-	-	-	-	-
739	wrap (V)	-	-	-	-	wind, wrap <10.14>	-	-	-	-	-	-	-	-	-	-
740	ask (V)	-	-	-	-	ask, request <18.35>	-	-	-	-	-	-	-	-	-	-
741	daughter-in-law	-	-	-	-	daughter-in-law (of a woman) <2.641>	-	-	-	-	-	-	-	-	-	-
742	wall	-	-	-	-	wall <7.27>	-	-	-	-	-	-	-	-	-	-
743	weather	-	-	-	-	weather <1.78>	-	-	-	-	-	-	-	-	-	-
744	he	-	-	-	-	he/she/it <2.93>	-	-	-	-	-	-	-	-	-	-
745	neighbour	-	-	-	-	neighbor <19.54>	-	-	-	-	-	-	-	-	-	-
746	udder	-	-	-	-	udder <4.42>	-	-	-	-	-	-	-	-	-	-
747	cotton	-	-	-	-	cotton <6.24>	-	-	-	-	-	-	-	-	-	-
748	be knowledgeable	to know, be knowledgeable <20>	-	-	-	-	-	-	-	-	-	-	-	-	-	-
749	pus	-	-	-	-	pus <4.857>	-	-	-	-	-	-	-	-	-	-
750	thumb	-	-	-	-	thumb <4.342>	-	-	-	-	-	-	-	-	-	-
751	fork	-	-	-	-	fork <5.39>	-	-	-	-	-	-	-	-	-	-
752	raw	-	-	-	-	raw <5.122>	-	-	-	-	-	-	-	-	-	-
753	sick	-	-	-	-	sick, sickness <4.84>	-	-	-	-	-	-	-	-	-	-
754	acorn	-	-	-	-	acorn <8.66>	-	-	-	-	-	-	-	-	-	-
755	otter	-	-	-	-	-	-	-	-	-	-	otter <65>	-	-	-	-
756	family	-	-	-	-	family <2.82>	-	-	-	-	-	-	-	-	-	-
757	study	-	-	-	-	study <17.242>	-	-	-	-	-	-	-	-	-	-
758	beginning	-	-	-	-	begin, beginning <14.25>	-	-	-	-	-	-	-	-	-	-
759	frighten (V)	-	-	-	-	-	-	-	-	-	-	fear/frighten <144>	-	-	-	-
760	by-and-by	-	by-and-by <11>	-	-	-	-	-	-	-	-	-	-	-	-	-
761	prevent (V)	-	-	-	-	hinder, prevent <19.59>	-	-	-	-	-	-	-	-	-	-
762	lend (V)	-	-	-	-	lend <11.61>	-	-	-	-	-	-	-	-	-	-
763	get (V)	-	-	-	-	get, obtain <11.16>	-	-	-	-	-	-	-	-	-	-
764	stir (V)	-	-	-	-	stir, mix <5.49>	-	-	-	-	-	-	-	-	-	-
765	bunch	-	-	-	-	bunch <5.712>	-	-	-	-	-	-	-	-	-	-
766	similar	-	-	-	-	like, similar <12.92>	-	-	-	-	-	-	-	-	-	-
767	necklace	-	-	-	-	necklace <6.75>	-	-	-	-	-	-	-	-	-	-
768	rebuke (V)	-	-	-	-	rebuke, scold <18.39>	-	-	-	-	-	-	-	-	-	-
769	stammer (V)	-	-	-	-	stutter, stammer <18.211>	-	-	-	-	-	-	-	-	-	-
770	wheel	-	-	-	-	wheel <10.76>	-	-	-	-	-	-	-	-	-	-
771	meet (V)	-	-	-	-	meet <19.65>	-	-	-	-	-	-	-	-	-	-
772	look at (V)	-	-	-	-	look, look at <15.52>	-	-	-	-	-	-	-	-	-	-
773	coat	-	-	-	-	coat <6.43>	-	-	-	-	-	-	-	-	-	-
774	vegetable	-	-	-	-	vegetables <5.65>	-	-	-	-	-	-	-	-	-	-
775	hiccough	-	-	-	-	hiccough <4.521>	-	-	-	-	-	-	-	-	-	-
776	descend (V)	-	-	-	-	-	-	-	-	-	-	descend <139>	-	-	-	-
777	he-goat	-	-	-	-	he-goat <3.37>	-	-	-	-	-	-	-	-	-	-
778	sour	-	-	-	-	acid, sour <15.38>	-	-	-	-	-	-	-	-	-	-
779	fir	-	-	-	-	fir <8.65>	-	-	-	-	-	-	-	-	-	-
780	stink	-	-	-	-	stinking, bad smelling <15.26>	-	-	-	-	-	-	-	-	-	-
781	floor	-	-	-	-	floor <7.26>	-	-	-	-	-	-	-	-	-	-
782	coin	-	-	-	-	coin <11.44>	-	-	-	-	-	-	-	-	-	-
783	noise	-	-	-	-	sound, noise <15.44>	-	-	-	-	-	-	-	-	-	-
784	wind (V)	-	-	-	-	wind, wrap <10.14>	-	-	-	-	-	-	-	-	-	-
785	loud	-	-	-	-	loud <15.45>	-	-	-	-	-	-	-	-	-	-
786	tribute	-	-	-	-	tax, tribute <11.69>	-	-	-	-	-	-	-	-	-	-
787	worship (V)	-	-	-	-	worship <22.16>	-	-	-	-	-	-	-	-	-	-
788	vagina	-	-	-	-	-	-	-	-	-	-	vagina or breast/milk <30>	-	-	-	-
789	jump (V)	-	-	-	-	jump, leap <10.43>	-	-	-	-	-	-	-	-	-	-
790	save (V)	-	-	-	-	save, rescue <11.25>	-	-	-	-	-	-	-	-	-	-
791	stallion	-	-	-	-	stallion <3.42>	-	-	-	-	-	-	-	-	-	-
792	like	-	-	-	-	like, similar <12.92>	-	-	-	-	-	-	-	-	-	-
793	lie 2 (V)	-	-	-	-	lie, tell lies <16.67>	-	-	-	-	-	-	-	-	-	-
794	shoot (V)	-	-	-	-	-	-	-	-	-	-	shoot <196>	-	-	-	-
795	fear	-	-	-	-	fear, fright <16.53>	-	-	-	-	-	-	-	-	-	-
796	hang up (V)	-	-	-	-	hang up <9.341>	-	-	-	-	-	-	-	-	-	-
